ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	proto	service	duration	orig_bytes	resp_bytes	conn_state	local_orig	local_resp	missed_bytes	history	orig_pkts	orig_ip_bytes	resp_pkts	resp_ip_bytes	tunnel_parents	vlan	inner_vlan
1476748752.773076	CL4kH03NFbcQSMcxMh	147.248.1.35	63108	155.19.59.117	161	udp	snmp	2.569482	2130	3068	SF	F	F	0	^dD	20	2690	22	3684	(empty)	138	-
1476748515.346800	CSdnsf2Z5aWcQxewM5	172.17.3.200	48073	155.19.62.149	9490	tcp	http	0.003122	55	2158	SF	T	F	0	ShADadfF	7	427	7	2530	(empty)	365	-
1476748515.347260	CSo6Dy2YQjIkZlBj8k	172.17.3.200	48156	155.19.62.149	9240	tcp	http	0.003502	55	2158	SF	T	F	0	ShADTadfFF	13	794	7	2530	(empty)	365	-
1476748810.369748	CQYaBc3auop9ABzZtk	172.17.3.200	50972	155.19.59.130	8095	tcp	-	-	-	-	RSTOS0	T	F	0	R	1	40	0	0	(empty)	139	-
1476748805.402925	CCGspe824T8XiJveg	155.19.59.5	54625	214.3.88.60	53	udp	dns	0.000378	43	133	SF	F	F	0	Dd	1	71	1	161	(empty)	10	-
1476748815.430738	CAhWkd3Ymrn338eAQg	172.17.3.200	5401	155.19.62.151	9290	tcp	-	-	-	-	S0	T	F	0	S	1	60	0	0	(empty)	162	-
1476748515.445056	ChEaBW1bae379OuTa2	172.17.3.200	45833	155.19.62.151	9290	tcp	-	0.005326	1691438235	2159	SH	T	F	0	SADdF	9	531	2	894	(empty)	162	-
1476748805.455135	CsSq3R2MAjA9ODjAx5	10.10.164.11	47391	214.3.88.60	53	udp	dns	0.023640	180	250	SF	T	F	0	Dd	2	236	2	306	(empty)	10	-
1476748515.462482	CCi5zs1ol6lFMl042	172.17.3.200	46780	155.19.62.148	9340	tcp	http	0.003155	55	2158	SF	T	F	0	ShADadfF	7	427	7	2530	(empty)	365	-
1476748805.505407	CXHojv2KRO1oMY6MB6	10.10.164.11	45374	214.3.88.62	53	udp	dns	-	-	-	S0	T	F	0	D	1	71	0	0	(empty)	10	-
1476748810.543770	Co0tWL2yDEmZdiZWVg	172.17.3.200	32071	155.19.62.150	9440	tcp	http	0.002083	55	2158	RSTO	T	F	0	ShADadfR	7	427	6	2478	(empty)	365	-
1476748815.550560	CeMN8f47aNiVzcbNsg	172.17.3.200	54763	155.19.62.151	9390	tcp	-	-	-	-	S0	T	F	0	S	1	60	0	0	(empty)	162	-
1476748515.565955	CFF9F53NDWhbUePWjg	172.17.3.200	20252	155.19.62.150	9440	tcp	http	0.001991	55	2158	SF	T	F	0	ShADTadfFF	13	794	7	2530	(empty)	365	-
1476748515.566246	CotHj04P1MgYk8ol76	155.19.62.151	9390	172.17.3.200	27295	tcp	-	0.002170	2158	55	SH	F	T	0	HaADF	5	1058	2	104	(empty)	161	-
1476748815.589943	C0VSq937kkA0wGdDF3	172.17.3.201	1264	155.19.59.2	7799	tcp	-	-	-	-	S0	T	F	0	S	1	60	0	0	(empty)	162	-
1476748515.595023	C2ZZfqrvkhOmlRVfh	172.17.3.200	57275	155.19.62.151	9340	tcp	-	0.003162	179836942	0	SF	T	F	0	SADafF	8	479	3	156	(empty)	162	-
1476748815.604273	C99jqJ2itLRf2byR4f	155.19.62.99	48701	158.13.136.71	8140	tcp	-	-	-	-	S0	F	F	0	S	1	60	0	0	(empty)	362	-
1476748815.637901	CHJYA040F56GXFDsvf	172.17.3.200	1711	155.19.62.150	9390	tcp	-	-	-	-	S0	T	F	0	S	1	60	0	0	(empty)	162	-
1476748515.645904	CHFjCyBNktt4rApZ5	172.17.3.201	33359	155.19.59.2	7799	tcp	ssl	0.003477	346	564	SF	T	F	0	ShADadfF	10	874	10	1092	(empty)	351	-
1476748810.706049	Cig6J41JhQiCrxzE03	172.17.3.200	53736	155.19.62.150	9390	tcp	http	0.002060	690678301	2158	SF	T	F	0	ShADadfFF	13	794	7	2530	(empty)	162	-
1476748815.752046	CSSQ1dLvQd73wNs2g	172.17.3.200	57871	155.19.62.150	9290	tcp	-	-	-	-	S0	T	F	0	S	1	60	0	0	(empty)	162	-
1476748515.762580	C4O74v1RiOXHtqh0p2	172.17.3.200	8889	155.19.62.151	9490	tcp	http	0.002521	55	2158	SF	T	F	0	ShADTadfFF	13	794	7	2530	(empty)	365	-
1476748515.762686	Cfu10aTUfwNQQ6Z8b	172.17.3.200	18736	155.19.62.151	9190	tcp	http	0.002859	55	2158	SF	T	F	0	ShADTadfFF	13	794	7	2530	(empty)	365	-
1476748810.788311	CQvZoqhW8zmu2NO7f	172.17.3.200	29302	155.19.62.151	9140	tcp	-	0.002139	55	2158	RSTOS0	T	F	0	SDadR	3	219	3	946	(empty)	365	-
1476748815.791251	CUuClO1IumgL7bBOd	172.17.3.201	48640	155.19.62.84	9095	tcp	-	-	-	-	S0	T	F	0	S	1	60	0	0	(empty)	162	-
1476748810.795913	CBBn2N1unTL7Rujtr7	172.17.3.201	53949	155.19.62.82	8065	tcp	-	0.001095	0	0	REJ	T	F	0	Srr	1	60	2	80	(empty)	361	-
1476748810.795881	CGWSpa2fwDGJrmF4h5	172.17.3.201	16484	155.19.62.85	9050	tcp	-	0.000624	0	0	REJ	T	F	0	Sr	1	60	1	40	(empty)	162	-
1476748805.798992	CNtFBs3E227u7oLRaj	155.19.59.5	48485	214.3.88.60	53	udp	dns	0.000381	43	133	SF	F	F	0	Dd	1	71	1	161	(empty)	10	-
1476748810.802664	Cuq5Di4W47snEmCuy1	172.17.3.201	2335	155.19.62.84	9095	tcp	-	0.000388	0	0	REJ	T	F	0	Srr	1	60	2	80	(empty)	361	-
1476748815.806022	CJjeyG1oWkBGpJkXOb	172.17.3.200	55539	155.19.62.151	9140	tcp	-	-	-	-	S0	T	F	0	S	1	60	0	0	(empty)	162	-
1476748515.817363	Cxx87h22J4NG0myJI4	172.17.3.200	28934	155.19.62.151	9140	tcp	-	0.002173	55	2158	RSTO	T	F	1934	ShADTdR	8	479	2	337	(empty)	365	-
1476748515.816956	C8SJxC4UxHv8oAzhYg	172.17.3.201	33254	155.19.59.3	7799	tcp	-	0.006446	346	565	S2	T	F	536	ShADTdFFa	14	1279	4	245	(empty)	351	-
1476748805.850231	CkyjSb2gSGBRbFfBG1	155.19.59.5	42574	214.3.88.60	53	udp	dns	-	-	-	SHR	F	F	0	^d	0	0	1	161	(empty)	10	-
1476748515.868544	CkZHlD17Z91aUuz8Ei	172.17.3.200	3311	155.19.62.149	9390	tcp	-	0.000775	0	0	S1	T	F	0	Sha	1	60	2	112	(empty)	365	-
1476748805.940858	CzQQV324rIT7QZYxU6	10.10.164.9	34568	214.3.88.60	53	udp	dns	0.022786	43	266	SF	T	F	0	Dd	1	71	2	322	(empty)	10	-
1476748785.951330	CkPKJj1YEC32zf43ad	155.19.59.179	137	155.19.59.191	137	udp	dns	18.827878	450	0	S0	F	F	0	D	9	702	0	0	(empty)	366	-
1476748755.959448	Cg3dg82w5tOfbwfrIl	147.248.1.44	8	155.19.62.87	0	icmp	-	0.001150	23	23	OTH	F	F	0	-	1	51	1	51	(empty)	361	-
1476748515.969514	CYAID24BZuB333jLhh	172.17.3.200	24702	155.19.62.150	9240	tcp	http	0.003499	55	2158	SF	T	F	0	ShADadfF	7	427	7	2530	(empty)	365	-
1476748805.983340	CwB6VA4U4SR5ogrcQd	10.10.164.9	33496	214.3.88.60	53	udp	dns	0.000602	43	266	SF	T	F	0	Dd	1	71	2	322	(empty)	10	-
1476748805.984118	CMW7243Kp9b5D0pn77	10.10.164.9	64798	214.3.88.60	53	udp	dns	0.000570	86	266	SF	T	F	0	Dd	2	142	2	322	(empty)	10	-
1476748805.985032	CcvX2k4IlGsP7CpPt2	10.10.164.9	22716	214.3.88.62	53	udp	dns	-	-	-	S0	T	F	0	D	1	71	0	0	(empty)	134	-
1476748811.072582	CsXGLF1S3QZdqflNnc	172.17.3.200	65518	155.19.62.148	9490	tcp	http	0.003161	55	2158	RSTO	T	F	0	ShADadfR	7	427	6	2478	(empty)	365	-
1476748516.087998	CWn3Dn4DsCzOQLqa8h	172.17.3.200	20278	155.19.62.150	9090	tcp	http	0.003150	55	2158	SF	T	F	0	ShADadfF	7	427	7	2530	(empty)	365	-
1476748816.093990	Cr4kGc4kcMj3IP2hY1	147.248.1.35	48897	155.29.191.3	135	tcp	-	-	-	-	S0	F	F	0	S	1	52	0	0	(empty)	107	-
1476748806.102938	CiWj5S3pfiGB7OTJE1	155.19.59.5	43567	214.3.88.60	53	udp	dns	-	-	-	SHR	F	F	0	^d	0	0	1	161	(empty)	10	-
1476748816.112434	CP7fw13tW6Xf6x7G19	147.248.1.35	48900	155.29.191.3	49154	tcp	-	-	-	-	S0	F	F	0	S	1	52	0	0	(empty)	107	-
1476748816.175097	CKdRCx1zEtCTaYLfj7	172.17.3.200	55286	155.19.62.148	9390	tcp	-	-	-	-	S0	T	F	0	S	1	60	0	0	(empty)	162	-
1476748796.179681	CBA4fZqUDhk4kaklk	147.248.1.35	137	155.19.62.103	137	udp	dns	3.013086	250	0	S0	F	F	0	D	5	390	0	0	(empty)	107	-
1476748796.197844	C7DTm8jFc5XrrTCt5	147.248.1.35	137	155.19.62.99	137	udp	dns	3.010367	150	0	S0	F	F	0	D	3	234	0	0	(empty)	107	-
1476748516.214927	C9KSx40axFl4FuHT5	172.17.3.200	19812	155.19.62.149	9140	tcp	http	0.002301	55	2158	SF	T	F	0	ShADTadfFF	12	742	6	2478	(empty)	365	-
1476748516.215897	C42XHe3xiJS8opYECf	172.17.3.200	45254	155.19.62.148	9390	tcp	http	0.003474	55	2158	SF	T	F	0	ShADadfF	7	427	7	2530	(empty)	365	-
1476748516.122690	C2GXa62WapnxyI5GKb	147.248.1.35	43457	155.29.191.3	49154	tcp	dce_rpc	0.102440	4022	1115	SF	F	F	0	ShADadtFff	14	4594	26	3294	(empty)	14	-
1476748516.111364	CTS6V02PwL2z2vDx3b	147.248.1.35	43456	155.29.191.3	135	tcp	dce_rpc,ntlm	0.121551	1522	1356	SF	F	F	0	ShADdtaFff	7	1814	12	3216	(empty)	14	-
1476748816.236441	Cw60861m4Vs7bmE2Af	172.17.3.200	62847	155.19.62.148	9540	tcp	-	-	-	-	S0	T	F	0	S	1	60	0	0	(empty)	162	-
1476748811.238234	C6mOco1Te7xTu4Jotd	172.17.3.200	43084	155.19.62.148	9540	tcp	http	0.002065	55	2158	RSTO	T	F	0	ShADTadfRR	13	794	6	2478	(empty)	365	-
1476748516.241526	CXYp2U1cppG9xgio5i	172.17.3.200	46770	155.19.62.148	9540	tcp	http	0.002282	55	2158	SF	T	F	0	ShADTadfFF	13	794	7	2530	(empty)	365	-
1476748806.244041	CXinhr2j7rZP6xitq	155.19.59.5	56605	214.3.88.60	53	udp	dns	0.000276	43	133	SF	F	F	0	Dd	1	71	1	161	(empty)	10	-
1476748796.244809	CWWeh01LYWwl3x9tEk	147.248.1.35	137	155.19.59.138	137	udp	dns	3.010361	250	0	S0	F	F	0	D	5	390	0	0	(empty)	107	-
1476748796.272621	CA7Jdh4clvCfgb9TY1	147.248.1.35	137	155.19.59.126	137	udp	dns	3.013713	150	0	S0	F	F	0	D	3	234	0	0	(empty)	107	-
1476748806.319247	CLSUlf4YEDejfYyZIf	155.19.57.4	50093	214.3.88.60	53	udp	dns	0.000183	0	266	SHR	F	F	0	^d	0	0	2	322	(empty)	10	-
1476748806.378455	C0iDU47GW8eL4hGOe	155.19.59.5	56783	214.3.88.60	53	udp	dns	-	-	-	SHR	F	F	0	^d	0	0	1	161	(empty)	10	-
1476748811.379414	CyXxnEOHTix1UxlGe	172.17.3.200	63280	155.19.62.84	9095	tcp	-	0.000362	0	0	REJ	T	F	0	Srr	1	60	2	80	(empty)	361	-
1476748816.379737	CzfMEU3XES7VV574bg	172.17.3.200	1374	155.19.62.84	9095	tcp	-	-	-	-	S0	T	F	0	S	1	60	0	0	(empty)	162	-
1476748811.379094	CDKB1dkAltrL1WwJ1	172.17.3.200	59763	155.19.62.148	9440	tcp	http	0.002131	55	2158	RSTO	T	F	0	ShADadfR	7	427	6	2478	(empty)	365	-
